資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260213,00636 ,17,9833,135825000,100.00
20260213,00636K,1,3,1400,2.25
20260213,00636K,2,4,10500,16.90
20260213,00636K,3,1,5700,9.17
20260213,00636K,4,0,0,0.00
20260213,00636K,5,0,0,0.00
20260213,00636K,6,0,0,0.00
20260213,00636K,7,0,0,0.00
20260213,00636K,8,1,44500,71.65
20260213,00636K,9,0,0,0.00
20260213,00636K,10,0,0,0.00
20260213,00636K,11,0,0,0.00
20260213,00636K,12,0,0,0.00
20260213,00636K,13,0,0,0.00
20260213,00636K,14,0,0,0.00
20260213,00636K,15,0,0,0.00
20260213,00636K,16,0,0,0.00
20260213,00636K,17,9,62100,100.00
20260213,00637L,1,731,135456,0.01
20260213,00637L,2,6133,16225433,1.42
20260213,00637L,3,2675,22500504,1.97
20260213,00637L,4,1205,15899957,1.39
20260213,00637L,5,1086,20415923,1.79
20260213,00637L,6,1234,32318980,2.83
20260213,00637L,7,721,26316510,2.31
20260213,00637L,8,569,26675026,2.34
20260213,00637L,9,1272,94292405,8.28
20260213,00637L,10,795,115261578,10.12
20260213,00637L,11,417,118970037,10.44
20260213,00637L,12,168,82401000,7.23
20260213,00637L,13,68,47405000,4.16
20260213,00637L,14,48,43263000,3.79
20260213,00637L,15,140,476525191,41.85
20260213,00637L,16,0,0,0.00
20260213,00637L,17,17262,1138606000,100.00
20260213,00638R,1,61,9994,0.03
20260213,00638R,2,223,566707,1.95
20260213,00638R,3,97,826294,2.85
20260213,00638R,4,46,620066,2.14
20260213,00638R,5,35,671000,2.31
20260213,00638R,6,36,922511,3.18
20260213,00638R,7,18,655000,2.26
20260213,00638R,8,13,610000,2.10
20260213,00638R,9,30,2062000,7.12
20260213,00638R,10,25,3838000,13.25
20260213,00638R,11,10,2672648,9.23
20260213,00638R,12,5,2497000,8.62
20260213,00638R,13,0,0,0.00
20260213,00638R,14,1,1000000,3.45
20260213,00638R,15,3,11996780,41.44
20260213,00638R,16,0,0,0.00
20260213,00638R,17,603,28948000,100.00
20260213,00639 ,1,1181,394428,0.29
20260213,00639 ,2,2992,7367329,5.54
20260213,00639 ,3,1075,8736828,6.57
20260213,00639 ,4,397,5098383,3.83
20260213,00639 ,5,409,7575469,5.69
20260213,00639 ,6,325,8480953,6.38
20260213,00639 ,7,173,6228849,4.68
20260213,00639 ,8,119,5559592,4.18
20260213,00639 ,9,227,16744226,12.59
20260213,00639 ,10,115,16380228,12.32
20260213,00639 ,11,36,10829621,8.14
20260213,00639 ,12,9,4410000,3.31
20260213,00639 ,13,7,4891000,3.68
20260213,00639 ,14,5,4570000,3.43
20260213,00639 ,15,13,25636094,19.28
20260213,00639 ,16,0,0,0.00
20260213,00639 ,17,7083,132903000,100.00
20260213,00640L,1,711,133391,1.07
20260213,00640L,2,825,1711600,13.78
20260213,00640L,3,140,1103874,8.88
20260213,00640L,4,57,747423,6.01
20260213,00640L,5,45,827918,6.66
20260213,00640L,6,35,875275,7.04
20260213,00640L,7,10,355771,2.86
20260213,00640L,8,10,457000,3.67
20260213,00640L,9,17,1147190,9.23
20260213,00640L,10,6,898047,7.23
20260213,00640L,11,2,526000,4.23
20260213,00640L,12,2,884000,7.11
20260213,00640L,13,0,0,0.00
20260213,00640L,14,0,0,0.00
20260213,00640L,15,2,2751511,22.15
20260213,00640L,16,0,0,0.00
20260213,00640L,17,1862,12419000,100.00
20260213,00641R,1,69,13267,0.01
20260213,00641R,2,481,1269015,1.60
20260213,00641R,3,204,1718494,2.16
20260213,00641R,4,112,1454007,1.83
20260213,00641R,5,101,1897078,2.39
20260213,00641R,6,97,2547944,3.21
20260213,00641R,7,65,2384019,3.00
20260213,00641R,8,59,2762555,3.48
20260213,00641R,9,127,9516630,12.00
20260213,00641R,10,58,8202000,10.34
20260213,00641R,11,25,6826000,8.61
20260213,00641R,12,12,5936000,7.48
20260213,00641R,13,4,2881000,3.63
20260213,00641R,14,2,1823000,2.30
20260213,00641R,15,12,30026991,37.88
20260213,00641R,16,0,0,0.00
20260213,00641R,17,1428,79258000,100.00
20260213,00642U,1,1401,275653,0.19
20260213,00642U,2,7009,15803444,11.30
20260213,00642U,3,1533,12586015,9.00
20260213,00642U,4,461,6054007,4.32
20260213,00642U,5,369,6974565,4.98
20260213,00642U,6,311,8078101,5.77
20260213,00642U,7,145,5282894,3.77
20260213,00642U,8,106,4994000,3.57
20260213,00642U,9,178,12991521,9.29
20260213,00642U,10,62,8833180,6.31
20260213,00642U,11,37,10100250,7.22
20260213,00642U,12,11,5778485,4.13
20260213,00642U,13,3,2110000,1.50
20260213,00642U,14,0,0,0.00
20260213,00642U,15,10,39958885,28.57
20260213,00642U,16,0,0,0.00
20260213,00642U,17,11636,139821000,100.00
20260213,00643 ,1,357,90662,0.09
20260213,00643 ,2,1962,5175891,5.35
20260213,00643 ,3,667,5736261,5.93
20260213,00643 ,4,240,3180085,3.29
20260213,00643 ,5,179,3384545,3.50
20260213,00643 ,6,193,5013360,5.19
20260213,00643 ,7,97,3572556,3.69
20260213,00643 ,8,85,4060254,4.20
20260213,00643 ,9,132,9985717,10.34
20260213,00643 ,10,73,10841759,11.22
20260213,00643 ,11,23,6590000,6.82
20260213,00643 ,12,7,3632000,3.76
20260213,00643 ,13,7,4893000,5.06
20260213,00643 ,14,4,3668000,3.79
20260213,00643 ,15,7,26748910,27.69
20260213,00643 ,16,0,0,0.00
20260213,00643 ,17,4033,96573000,100.00
20260213,00643K,1,0,0,0.00
20260213,00643K,2,2,5000,3.93
20260213,00643K,3,0,0,0.00
20260213,00643K,4,1,12000,9.44
20260213,00643K,5,0,0,0.00
20260213,00643K,6,0,0,0.00
20260213,00643K,7,1,32000,25.19
20260213,00643K,8,0,0,0.00
20260213,00643K,9,1,78000,61.41
20260213,00643K,10,0,0,0.00
20260213,00643K,11,0,0,0.00
20260213,00643K,12,0,0,0.00
20260213,00643K,13,0,0,0.00
20260213,00643K,14,0,0,0.00
20260213,00643K,15,0,0,0.00
20260213,00643K,16,0,0,0.00
20260213,00643K,17,5,127000,100.00
20260213,00645 ,1,4563,1284345,2.56
20260213,00645 ,2,4890,10230236,20.46
20260213,00645 ,3,829,6344410,12.68
